run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,ns_per_operation
0,regular_increment,25021563788361,20,0,0,0,0,-1,-1,0.00
1,regular_increment,25021563790189,16,0,0,0,0,-1,-1,0.00
2,regular_increment,25021563790588,17,0,0,0,0,-1,-1,0.00
3,regular_increment,25021563790849,16,0,0,0,0,-1,-1,0.00
4,regular_increment,25021563791101,17,0,0,0,0,-1,-1,0.00
5,atomic_relaxed,25021563791356,37855706,0,0,0,0,-1,-1,3.79
6,atomic_relaxed,25021601659480,37681348,0,0,0,0,-1,-1,3.77
7,atomic_relaxed,25021639341894,37649383,0,0,0,0,-1,-1,3.76
8,atomic_relaxed,25021676994595,37659338,0,0,0,0,-1,-1,3.77
9,atomic_relaxed,25021714655063,37767241,0,0,0,0,-1,-1,3.78
10,compare_and_swap,25021752423432,41164633,0,0,0,0,-1,-1,4.12
11,compare_and_swap,25021793591046,41193386,0,0,0,0,-1,-1,4.12
12,compare_and_swap,25021834785048,41273564,0,0,0,0,-1,-1,4.13
13,compare_and_swap,25021876059889,41172540,0,0,0,0,-1,-1,4.12
14,compare_and_swap,25021917232787,41193337,0,0,0,0,-1,-1,4.12
15,atomic_contended_2threads,25021958455703,48583302,0,0,0,0,-1,-1,9.72
16,local_no_contention_2threads,25022007287886,2047843,0,0,0,0,-1,-1,0.41
17,atomic_contended_4threads,25022009505047,167384591,0,0,0,0,-1,-1,66.95
18,local_no_contention_4threads,25022176934439,1145615,0,0,0,0,-1,-1,0.46
19,atomic_contended_8threads,25022178250400,146459872,0,0,0,0,-1,-1,117.17
20,local_no_contention_8threads,25022325141757,761811,0,0,0,0,-1,-1,0.61
