run,buffer_size,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,8KB_L1,22452168823576,22405,0,0,0,0,0,0

1,8KB_L1,22452168839877,7904,0,0,0,0,0,0

2,8KB_L1,22452168854627,7202,0,0,0,0,0,0

3,8KB_L1,22452168869300,7262,0,0,0,0,0,0

4,8KB_L1,22452168883670,7108,0,0,0,0,0,0

5,8KB_L1,22452168898232,7263,0,0,0,0,0,0

6,8KB_L1,22452168912713,7201,0,0,0,0,0,0

7,8KB_L1,22452168933275,11630,0,0,0,0,0,0

8,8KB_L1,22452168955263,10620,0,0,0,0,0,0

9,8KB_L1,22452168975004,8090,0,0,0,0,0,0

0,128KB_L2,22452169030503,10862,0,0,0,0,0,0

1,128KB_L2,22452169048315,10298,0,0,0,0,0,0

2,128KB_L2,22452169066168,10293,0,0,0,0,0,0

3,128KB_L2,22452169083901,10391,0,0,0,0,0,0

4,128KB_L2,22452169101728,10447,0,0,0,0,0,0

5,128KB_L2,22452169119499,10369,0,0,0,0,0,0

6,128KB_L2,22452169137164,10310,0,0,0,0,0,0

7,128KB_L2,22452169154881,10383,0,0,0,0,0,0

8,128KB_L2,22452169172531,10401,0,0,0,0,0,0

9,128KB_L2,22452169190325,10333,0,0,0,0,0,0

0,4MB_L3,22452170437026,183683,0,0,0,0,0,0

1,4MB_L3,22452170699758,251153,0,0,0,0,0,0

2,4MB_L3,22452170934058,223282,0,0,0,0,0,0

3,4MB_L3,22452171162635,217980,0,0,0,0,0,0

4,4MB_L3,22452171388328,215341,0,0,0,0,0,0

5,4MB_L3,22452171616566,218000,0,0,0,0,0,0

6,4MB_L3,22452171839797,212913,0,0,0,0,0,0

7,4MB_L3,22452172063305,213246,0,0,0,0,0,0

8,4MB_L3,22452172284277,210728,0,0,0,0,0,0

9,4MB_L3,22452172511886,217457,0,0,0,0,0,0

0,64MB_DRAM,22452192747288,3072073,0,0,0,0,0,0

1,64MB_DRAM,22452195684501,2911349,0,0,0,0,0,0

2,64MB_DRAM,22452198675638,2969463,0,0,0,0,0,0

3,64MB_DRAM,22452201693802,2996463,0,0,0,0,0,0

4,64MB_DRAM,22452204651154,2935261,0,0,0,0,0,0

5,64MB_DRAM,22452207816958,3144005,0,0,0,0,0,0

6,64MB_DRAM,22452211097021,3254343,0,0,0,0,0,0

7,64MB_DRAM,22452214086846,2964384,0,1,0,0,0,0

8,64MB_DRAM,22452217177917,3068621,0,0,0,0,0,0

9,64MB_DRAM,22452220543036,3344542,0,0,0,0,0,0

