run,buffer_size,access_pattern,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,8KB_L1,sequential,22452227211412,20737,0,0,0,0,0,0
1,8KB_L1,sequential,22452227227815,8001,0,0,0,0,0,0
2,8KB_L1,sequential,22452227242556,7258,0,0,0,0,0,0
3,8KB_L1,sequential,22452227256924,7180,0,0,0,0,0,0
4,8KB_L1,sequential,22452227271376,7176,0,0,0,0,0,0
5,8KB_L1,sequential,22452227286026,7363,0,0,0,0,0,0
6,8KB_L1,sequential,22452227301805,8415,0,0,0,0,0,0
7,8KB_L1,sequential,22452227324448,11121,0,0,0,0,0,0
8,8KB_L1,sequential,22452227347016,11636,0,0,0,0,0,0
9,8KB_L1,sequential,22452227364640,7718,0,0,0,0,0,0
0,8KB_L1,random,22452227500388,128236,0,0,2,0,0,0
1,8KB_L1,random,22452227629595,120238,0,0,0,0,0,0
2,8KB_L1,random,22452227757290,120146,0,0,0,0,0,0
3,8KB_L1,random,22452227884734,120142,0,0,0,0,0,0
4,8KB_L1,random,22452228011894,119849,0,0,0,0,0,0
5,8KB_L1,random,22452228139328,120151,0,0,0,0,0,0
6,8KB_L1,random,22452228266882,120188,0,0,0,0,0,0
7,8KB_L1,random,22452228394030,119923,0,0,0,0,0,0
8,8KB_L1,random,22452228525302,124024,0,0,0,0,0,0
9,8KB_L1,random,22452228653103,120086,0,0,0,0,0,0
0,128KB_L2,sequential,22452228712697,11400,0,0,0,0,0,0
1,128KB_L2,sequential,22452228730561,10424,0,0,0,0,0,0
2,128KB_L2,sequential,22452228748466,10452,0,0,0,0,0,0
3,128KB_L2,sequential,22452228766306,10346,0,0,0,0,0,0
4,128KB_L2,sequential,22452228784135,10338,0,0,0,0,0,0
5,128KB_L2,sequential,22452228801819,10339,0,0,0,0,0,0
6,128KB_L2,sequential,22452228819457,10351,0,0,0,0,0,0
7,128KB_L2,sequential,22452228837024,10277,0,0,0,0,0,0
8,128KB_L2,sequential,22452228854761,10375,0,0,0,0,0,0
9,128KB_L2,sequential,22452228872580,10532,0,0,0,0,0,0
0,128KB_L2,random,22452229358172,478078,0,0,33,0,0,0
1,128KB_L2,random,22452229827628,460042,0,0,30,0,0,0
2,128KB_L2,random,22452230274581,438167,0,0,0,0,0,0
3,128KB_L2,random,22452230721626,437996,0,0,0,0,0,0
4,128KB_L2,random,22452231166897,437046,0,0,0,0,0,0
5,128KB_L2,random,22452231619914,443802,0,0,0,0,0,0
6,128KB_L2,random,22452232071941,440970,0,0,0,0,0,0
7,128KB_L2,random,22452232531387,449001,0,0,0,0,0,0
8,128KB_L2,random,22452232989731,446522,0,0,0,0,0,0
9,128KB_L2,random,22452233499617,495908,0,1,0,0,0,0
0,4MB_L3,sequential,22452234767422,186374,0,0,0,0,0,0
1,4MB_L3,sequential,22452235016403,236340,0,0,0,0,0,0
2,4MB_L3,sequential,22452235253839,225370,0,0,0,0,0,0
3,4MB_L3,sequential,22452235491735,226477,0,0,0,0,0,0
4,4MB_L3,sequential,22452235716374,212111,0,0,0,0,0,0
5,4MB_L3,sequential,22452235935750,208273,0,0,0,0,0,0
6,4MB_L3,sequential,22452236154624,208084,0,0,0,0,0,0
7,4MB_L3,sequential,22452236374363,208824,0,0,0,0,0,0
8,4MB_L3,sequential,22452236616988,231658,0,1,0,0,0,0
9,4MB_L3,sequential,22452236835070,206451,0,0,0,0,0,0
0,4MB_L3,random,22452247805353,10959415,0,0,1025,0,0,0
1,4MB_L3,random,22452258892187,11052778,0,0,992,0,0,0
2,4MB_L3,random,22452268265142,9320631,0,0,0,0,0,0
3,4MB_L3,random,22452277256546,8965551,0,1,0,0,0,0
4,4MB_L3,random,22452286551849,9271553,0,0,0,0,0,0
5,4MB_L3,random,22452295955076,9375056,0,0,0,0,0,0
6,4MB_L3,random,22452304972304,8968643,0,0,0,0,0,0
7,4MB_L3,random,22452314101144,9099442,0,0,0,0,0,0
8,4MB_L3,random,22452322628109,8503172,0,0,0,0,0,0
9,4MB_L3,random,22452331561235,8903929,0,0,0,0,0,0
0,64MB_DRAM,sequential,22452352273107,3410505,0,0,0,0,0,0
1,64MB_DRAM,sequential,22452355563061,3262539,0,0,0,0,0,0
2,64MB_DRAM,sequential,22452358577767,2992093,0,0,0,0,0,0
3,64MB_DRAM,sequential,22452361568450,2973326,0,0,0,0,0,0
4,64MB_DRAM,sequential,22452364575106,2990401,0,0,0,0,0,0
5,64MB_DRAM,sequential,22452367608111,3016799,0,0,0,0,0,0
6,64MB_DRAM,sequential,22452370582381,2957734,0,0,0,0,0,0
7,64MB_DRAM,sequential,22452373551331,2952741,0,0,0,0,0,0
8,64MB_DRAM,sequential,22452376521519,2955089,0,0,0,0,0,0
9,64MB_DRAM,sequential,22452379521447,2984114,0,0,0,0,0,0
0,64MB_DRAM,random,22452699306331,319768377,0,36,16385,0,0,0
1,64MB_DRAM,random,22453042456584,343101877,0,4,16385,0,0,0
2,64MB_DRAM,random,22453359426939,316915421,0,3,16385,0,0,0
3,64MB_DRAM,random,22453679432276,319955822,0,35,16385,0,0,0
4,64MB_DRAM,random,22453996828181,317324554,0,1,16385,0,0,0
5,64MB_DRAM,random,22454316185601,319310764,0,2,16385,0,0,0
6,64MB_DRAM,random,22454643673353,327437869,0,34,16385,0,0,0
7,64MB_DRAM,random,22454961715356,317952996,0,5,16385,0,0,0
8,64MB_DRAM,random,22455275470717,313712864,0,3,16385,0,0,0
9,64MB_DRAM,random,22455600686501,325158838,0,33,16385,0,0,0
