run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,bandwidth_gbs
0,sequential_read_1threads,25574941418893,53068026,0,0,0,0,-1,-1,23.85
1,sequential_read_2threads,25574994524082,104066131,0,0,0,0,-1,-1,26.06
2,sequential_read_4threads,25575098625898,167341606,0,0,0,0,-1,-1,40.21
3,sequential_read_8threads,25575266013875,335647766,0,0,0,0,-1,-1,34.46
4,sequential_write_1threads,25575601699141,74104007,0,0,0,0,-1,-1,12.42
5,sequential_write_2threads,25575675825825,137155389,0,0,0,0,-1,-1,13.95
6,sequential_write_4threads,25575813015915,248391514,0,0,0,0,-1,-1,16.76
7,sequential_write_8threads,25576061424638,453388810,0,0,0,0,-1,-1,19.17
8,sequential_copy_1threads,25576514853598,19197843,0,0,0,0,-1,-1,47934902.86
9,sequential_copy_2threads,25576534081393,41640131,0,0,0,0,-1,-1,74565404.44
10,sequential_copy_4threads,25576575753024,96395064,0,0,0,0,-1,-1,178956970.67
11,sequential_copy_8threads,25576672189122,188834653,0,0,0,0,-1,-1,219130984.49
12,random_read_1threads,25576861057920,180744516,0,0,0,0,-1,-1,0.06
13,random_read_2threads,25577041841738,359355254,0,0,0,0,-1,-1,0.06
14,random_read_4threads,25577401232978,408554088,0,0,0,0,-1,-1,0.13
15,random_read_8threads,25577809820112,524812599,0,0,0,0,-1,-1,0.23
