run,locality,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,local,22456064063097,437268996,0,28,16385,0,0,0
1,local,22456497812245,433703513,0,40,16385,0,0,0
2,local,22456927112826,429219633,0,5,16385,0,0,0
3,local,22457358028675,430873396,0,4,16385,0,0,0
4,local,22457799033844,440960639,0,39,16385,0,0,0
5,local,22458235057550,435970067,0,2,16385,0,0,0
6,local,22458677387513,442280742,0,35,16385,0,0,0
7,local,22459113939070,436500524,0,6,16385,0,0,0
8,local,22459560571312,446591149,0,38,16385,0,0,0
9,local,22459992273050,431649838,0,5,16385,0,0,0
0,remote,22460457165701,441158767,0,4,16385,0,0,0
1,remote,22460902011136,444787388,0,39,16385,0,0,0
2,remote,22461335079497,433024186,0,5,16385,0,0,0
3,remote,22461795537537,460410496,0,63,16385,0,0,0
4,remote,22462227186057,431595567,0,2,16385,0,0,0
5,remote,22462666442856,439207354,0,36,16385,0,0,0
6,remote,22463100665606,434169974,0,8,16385,0,0,0
7,remote,22463535158516,434434472,0,33,16385,0,0,0
8,remote,22463971248468,436044861,0,35,16385,0,0,0
9,remote,22464400433323,429129583,0,7,16385,0,0,0
