run,affinity,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,unpinned,22437149227145,1006157285,0,47,0,0,11,2
1,unpinned,22438085821672,936515189,0,45,0,0,2,3
2,unpinned,22438984562332,898649253,0,61,0,0,3,2
3,unpinned,22439897558838,912899018,0,53,0,0,2,2
4,unpinned,22440868930404,971308929,0,36,0,0,2,2
5,unpinned,22441754504189,885462430,0,62,0,0,2,2
6,unpinned,22442704418661,949818766,0,49,0,0,2,1
7,unpinned,22443606312710,901815757,0,13,0,0,1,1
8,unpinned,22444508384174,901994333,0,21,0,0,1,0
9,unpinned,22445419645589,911184301,0,46,0,0,0,8
0,cpu0,22446325130625,905381807,0,50,0,0,0,0
1,cpu0,22447213350474,888140674,0,39,0,0,0,0
2,cpu0,22448100320811,886915455,0,39,0,0,0,0
3,cpu0,22448980993639,880552876,0,9,0,0,0,0
4,cpu0,22449869418246,888326906,0,43,0,0,0,0
5,cpu0,22450756228850,886763171,0,39,0,0,0,0
6,cpu0,22451645228629,888897012,0,38,0,0,0,0
7,cpu0,22452533472753,888150853,0,42,0,0,0,0
8,cpu0,22453421125396,887577652,0,44,0,0,0,0
9,cpu0,22454309607740,888377834,0,41,0,0,0,0
0,cpu1,22455191307031,881614516,0,7,0,0,1,1
1,cpu1,22456072895922,881508568,0,7,0,0,1,1
2,cpu1,22456956940750,883944283,0,6,0,0,1,1
3,cpu1,22457839602937,882563553,0,8,0,0,1,1
4,cpu1,22458725058933,885351329,0,5,0,0,1,1
5,cpu1,22459613212849,888095689,0,5,0,0,1,1
6,cpu1,22460494728985,881394346,0,6,0,0,1,1
7,cpu1,22461383467883,888646612,0,7,0,0,1,1
8,cpu1,22462273042788,889476288,0,4,0,0,1,1
9,cpu1,22463161694962,888581421,0,8,0,0,1,1
