run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
0,fork,25578336473379,97828,0,0,0,0,-1,-1,97.83
1,fork,25578336576507,79453,0,0,0,0,-1,-1,79.45
2,fork,25578336657370,97862,0,0,0,0,-1,-1,97.86
3,fork,25578336756785,229051,0,0,0,0,-1,-1,229.05
4,fork,25578336992739,435737,0,0,0,0,-1,-1,435.74
5,fork,25578337432459,106703,0,0,0,0,-1,-1,106.70
6,fork,25578337543450,151197,0,0,0,0,-1,-1,151.20
7,fork,25578337700219,142780,0,0,0,0,-1,-1,142.78
8,fork,25578337846253,143929,0,0,0,0,-1,-1,143.93
9,fork,25578337993616,110345,0,0,0,0,-1,-1,110.34
10,fork,25578338105684,100458,0,0,0,0,-1,-1,100.46
11,fork,25578338208630,116235,0,0,0,0,-1,-1,116.23
12,fork,25578338328851,126914,0,0,0,0,-1,-1,126.91
13,fork,25578338459547,135364,0,0,0,0,-1,-1,135.36
14,fork,25578338598614,104770,0,0,0,0,-1,-1,104.77
15,fork,25578338706749,117370,0,0,0,0,-1,-1,117.37
16,fork,25578338827795,136146,0,0,0,0,-1,-1,136.15
17,fork,25578338966600,91772,0,0,0,0,-1,-1,91.77
18,fork,25578339061015,115793,0,0,0,0,-1,-1,115.79
19,fork,25578339180516,121199,0,0,0,0,-1,-1,121.20
20,fork,25578339304333,119721,0,0,0,0,-1,-1,119.72
21,fork,25578339427589,99930,0,0,0,0,-1,-1,99.93
22,fork,25578339532307,139358,0,0,0,0,-1,-1,139.36
23,fork,25578339676940,126687,0,0,0,0,-1,-1,126.69
24,fork,25578339806613,112324,0,0,0,0,-1,-1,112.32
25,fork,25578339922703,123843,0,0,0,0,-1,-1,123.84
26,fork,25578340049541,102729,0,0,0,0,-1,-1,102.73
27,fork,25578340155296,87582,0,0,0,0,-1,-1,87.58
28,fork,25578340244548,89266,0,0,0,0,-1,-1,89.27
29,fork,25578340337669,115229,0,0,0,0,-1,-1,115.23
30,fork,25578340456914,119369,0,0,0,0,-1,-1,119.37
31,fork,25578340579487,106876,0,0,0,0,-1,-1,106.88
32,fork,25578340688873,126167,0,0,0,0,-1,-1,126.17
33,fork,25578340818760,108071,0,0,0,0,-1,-1,108.07
34,fork,25578340930960,128122,0,0,0,0,-1,-1,128.12
35,fork,25578341062245,106776,0,0,0,0,-1,-1,106.78
36,fork,25578341171485,94350,0,0,0,0,-1,-1,94.35
37,fork,25578341268201,82647,0,0,0,0,-1,-1,82.65
38,fork,25578341353189,84542,0,0,0,0,-1,-1,84.54
39,fork,25578341440062,118586,0,0,0,0,-1,-1,118.59
40,fork,25578341562848,108797,0,0,0,0,-1,-1,108.80
41,fork,25578341674489,87197,0,0,0,0,-1,-1,87.20
42,fork,25578341764033,100077,0,0,0,0,-1,-1,100.08
43,fork,25578341866535,86501,0,0,0,0,-1,-1,86.50
44,fork,25578341956232,96927,0,0,0,0,-1,-1,96.93
45,fork,25578342055581,88655,0,0,0,0,-1,-1,88.66
46,fork,25578342146515,106016,0,0,0,0,-1,-1,106.02
47,fork,25578342255731,85928,0,0,0,0,-1,-1,85.93
48,fork,25578342343343,94756,0,0,0,0,-1,-1,94.76
49,fork,25578342439579,84944,0,0,0,0,-1,-1,84.94
50,fork,25578342525853,88856,0,0,0,0,-1,-1,88.86
51,fork,25578342616044,95581,0,0,0,0,-1,-1,95.58
52,fork,25578342713407,100042,0,0,0,0,-1,-1,100.04
53,fork,25578342817536,131012,0,0,0,0,-1,-1,131.01
54,fork,25578342952385,117000,0,0,0,0,-1,-1,117.00
55,fork,25578343072414,107811,0,0,0,0,-1,-1,107.81
56,fork,25578343183540,95600,0,0,0,0,-1,-1,95.60
57,fork,25578343282339,94857,0,0,0,0,-1,-1,94.86
58,fork,25578343380486,122230,0,0,0,0,-1,-1,122.23
59,fork,25578343507193,120032,0,0,0,0,-1,-1,120.03
60,fork,25578343630695,112781,0,0,0,0,-1,-1,112.78
