run,pattern,compute_ratio,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,compute_heavy,10,1646157377557,20451647,0,0,0,0,0,0
1,compute_heavy,10,1646179572172,16171837,0,0,0,0,0,0
2,compute_heavy,10,1646197424798,15612609,0,0,0,0,0,0
3,compute_heavy,10,1646214481831,15466783,0,0,0,0,0,0
4,compute_heavy,10,1646232751081,16018370,0,0,0,0,0,0
5,compute_heavy,10,1646250461583,15552029,0,0,0,0,0,0
6,compute_heavy,10,1646268142071,15555188,0,0,0,0,0,0
7,compute_heavy,10,1646286056934,15688036,0,0,0,0,0,0
8,compute_heavy,10,1646303858669,15690115,0,1,0,0,0,0
9,compute_heavy,10,1646321702399,15692842,0,0,0,0,0,0
0,balanced,3,1646328515155,4749010,0,0,0,0,0,0
1,balanced,3,1646335223627,4774261,0,0,0,0,0,0
2,balanced,3,1646342062372,4789955,0,0,0,0,0,0
3,balanced,3,1646348806077,4757885,0,0,0,0,0,0
4,balanced,3,1646355582433,4767319,0,0,0,0,0,0
5,balanced,3,1646362299078,4850999,0,0,0,0,0,0
6,balanced,3,1646368830268,4819983,0,0,0,0,0,0
7,balanced,3,1646375278584,4767441,0,0,0,0,0,0
8,balanced,3,1646381605577,4741845,0,0,0,0,0,0
9,balanced,3,1646387981016,4771813,0,0,0,0,0,0
0,memory_heavy,1,1646392481874,2538671,0,0,0,0,0,0
1,memory_heavy,1,1646396881685,2508899,0,0,0,0,0,0
2,memory_heavy,1,1646401359627,2613028,0,0,0,0,0,0
3,memory_heavy,1,1646406021827,2703021,0,0,0,0,0,0
4,memory_heavy,1,1646410370147,2503369,0,0,0,0,0,0
5,memory_heavy,1,1646414318172,2504523,0,0,0,0,0,0
6,memory_heavy,1,1646418283414,2527726,0,0,0,0,0,0
7,memory_heavy,1,1646422612529,2497350,0,0,0,0,0,0
8,memory_heavy,1,1646426939164,2537037,0,1,0,0,0,0
9,memory_heavy,1,1646430852716,2491906,0,0,0,0,0,0
0,phased,3,1646437010192,4714762,0,0,0,0,0,0
1,phased,3,1646443782729,4710946,0,0,0,0,0,0
2,phased,3,1646450418435,4681539,0,0,0,0,0,0
3,phased,3,1646457014913,4675349,0,0,0,0,0,0
4,phased,3,1646466864084,8128576,0,15,0,0,0,0
5,phased,3,1646477941868,8057525,0,13,0,0,0,0
6,phased,3,1646484383297,4660260,0,0,0,0,0,0
7,phased,3,1646491094141,4740912,0,0,0,0,0,0
8,phased,3,1646497706029,4674051,0,0,0,0,0,0
9,phased,3,1646503979270,4654158,0,0,0,0,0,0
0,bursty,3,1646511684207,6175523,0,0,0,0,0,0
1,bursty,3,1646519908400,6312013,0,0,0,0,0,0
2,bursty,3,1646528249974,6398831,0,0,0,0,0,0
3,bursty,3,1646536183345,6361537,0,0,0,0,0,0
4,bursty,3,1646544469975,6279378,0,0,0,0,0,0
5,bursty,3,1646553111907,6665449,0,0,0,0,0,0
6,bursty,3,1646561363599,6220162,0,0,0,0,0,0
7,bursty,3,1646569595076,6209420,0,0,0,0,0,0
8,bursty,3,1646577707477,6147344,0,0,0,0,0,0
9,bursty,3,1646585530204,6238089,0,1,0,0,0,0
