run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,throughput_gflops
0,scalar_add,25574826052460,1341357,0,0,0,0,-1,-1,0.782
1,scalar_add,25574827398062,300863,0,0,0,0,-1,-1,3.485
2,scalar_add,25574827699719,273968,0,0,0,0,-1,-1,3.827
3,scalar_add,25574827974449,275669,0,0,0,0,-1,-1,3.804
4,scalar_add,25574828251129,259302,0,0,0,0,-1,-1,4.044
5,scalar_add,25574828511303,260818,0,0,0,0,-1,-1,4.020
6,scalar_add,25574828773158,264023,0,0,0,0,-1,-1,3.972
7,scalar_add,25574829038068,251413,0,0,0,0,-1,-1,4.171
8,scalar_add,25574829290320,247658,0,0,0,0,-1,-1,4.234
9,scalar_add,25574829539017,246437,0,0,0,0,-1,-1,4.255
10,scalar_add,25574829786348,262257,0,0,0,0,-1,-1,3.998
11,scalar_add,25574830049797,246971,0,0,0,0,-1,-1,4.246
12,scalar_add,25574830297804,246345,0,0,0,0,-1,-1,4.257
13,scalar_add,25574830545037,244379,0,0,0,0,-1,-1,4.291
14,scalar_add,25574830790433,251743,0,0,0,0,-1,-1,4.165
15,scalar_add,25574831043246,246009,0,0,0,0,-1,-1,4.262
16,scalar_add,25574831290292,242706,0,0,0,0,-1,-1,4.320
17,scalar_add,25574831533898,243372,0,0,0,0,-1,-1,4.309
18,scalar_add,25574831778211,250434,0,0,0,0,-1,-1,4.187
19,scalar_add,25574832029653,244348,0,0,0,0,-1,-1,4.291
20,scalar_add,25574832274845,242824,0,0,0,0,-1,-1,4.318
21,scalar_add,25574832518716,241287,0,0,0,0,-1,-1,4.346
22,scalar_add,25574832761079,249035,0,0,0,0,-1,-1,4.211
23,scalar_add,25574833011416,243435,0,0,0,0,-1,-1,4.307
24,scalar_add,25574833255790,241950,0,0,0,0,-1,-1,4.334
25,scalar_add,25574833498758,242398,0,0,0,0,-1,-1,4.326
26,scalar_add,25574833742185,240859,0,0,0,0,-1,-1,4.353
27,scalar_add,25574833983990,248945,0,0,0,0,-1,-1,4.212
28,scalar_add,25574834233950,241428,0,0,0,0,-1,-1,4.343
29,scalar_add,25574834476291,241362,0,0,0,0,-1,-1,4.344
30,scalar_add,25574834718587,241940,0,0,0,0,-1,-1,4.334
31,scalar_add,25574834961488,253017,0,0,0,0,-1,-1,4.144
32,scalar_add,25574835215423,244242,0,0,0,0,-1,-1,4.293
33,scalar_add,25574835460667,242152,0,0,0,0,-1,-1,4.330
